id,original,detected_language,confidence,translated_text
490,didàctica de la música i la dansa a primària,ca,100,Didactics of music and dance in primary
491,pedagogia i didàctica de la religió a l’escola,ca,100,pedagogy and teaching of religion in school
492,formació vocal i auditiva,ca,100,vocal and auditory training
493,competència comunicativa i intercultural en llengua estrangera,ca,100,communicative and intercultural competence in the foreign language
494,intervenció educativa a l’alumnat amb discapacitat sensorial i motòrica,ca,100,educational intervention to students with sensory and motoric disabilities
495,"societat, família i educació",ca,100,"society, family and education"
496,el joc i la seva aplicació en el context escolar,ca,100,the game and its application in the school context
497,coneixement i ús de la llengua estrangera 1,ca,100,knowledge and use of the foreign language 1
498,estudis en el marc dels convenis de mobilitat,ca,100,studies in the framework of mobility conventions
499,"pràctica instrumental, creativitat i improvisació",ca,100,"instrumental practice, creativity and improvisation"
500,gestió de recursos i organització en educació física,ca,100,resource management and organization in physical education
601,intervenció psicoeducativa en la primera infància,ca,100,psychoeducational intervention in early childhood
602,observació i anàlisi de pràctiques educatives,ca,100,observation and analysis of educational practices
603,salut laboral,ca,100,Occupational health
604,psicologia de la diversitat cultural,ca,100,psicology of cultural diversity
605,bilingüisme i adquisició de segones llengües,ca,100,bilingualism and acquisition of second languages
606,intervenció psicoeducativa en trastorns del desenvolupament,ca,100,psychoeducational intervention in developmental disorders
607,psicologia ambiental,ca,100,environmental psychology
608,avaluació clínica,ca,100,clinical evaluation
609,trastorns del llenguatge,ca,100,language disorders
610,tècniques multivariants: aplicacions informàtiques amb spss,ca,100,multivariate techniques: computer applications with spss
611,psicologia política,ca,100,political psychology
612,models d’equacions estructurals en ciències del comportament,ca,100,models of structural equations in behavioral sciences
613,"emoció, ansietat i estrès",ca,100,"emotion, anxiety and stress"
614,psicopatologia del nen i de l’adolescent 1,ca,100,psychopathology of the child and adolescent 1
615,tècniques projectives,ca,100,projective techniques
616,teràpia grupal,ca,100,group therapy
617,psicologia de la delinqüència i de la conducta antisocial,ca,100,psicology of crime and antisocial behavior
618,psicologia del dolor,ca,100,psicology of pain
619,genètica de la conducta,ca,100,genetics of behavior
620,psicobiologia de l’agressivitat,ca,100,psychobiology of aggression
621,cultura i canvi organitzatiu,ca,100,culture and organizational change
622,psicobiologia de la conducta sexual,ca,100,psicobiology of sexual behavior
623,dissenys experimentals multivariants,ca,100,multivariate experimental designs
624,direcció i participació en les organitzacions,ca,100,direction and participation in organizations
625,formació de personal,ca,100,formation of personnel
626,intel·ligència artificial i xarxes neuronals,ca,100,artificial intelligence and neural networks
627,psicoendocrinologia,ca,100,psicoendocrinology
628,alteracions de la memòria,ca,100,alterations of memory
629,la memòria en la vida quotidiana,ca,100,memory in everyday life
630,bases psicològiques del disseny ergonòmic,ca,100,psychological bases of ergonomic design
631,ergonomia aplicada al treball,ca,100,ergonomia applied to work
632,psicobiologia del cicle vital,ca,100,psicobiology of the life cycle
633,paquets informàtics en l’anàlisi de dades,ca,100,computer packages in data analysis
634,administració de test a través d’internet,ca,100,Test administration through the internet
635,tècnica psicoanalítica,ca,100,psychoanalytic technique
636,aplicació de l’anàlisi factorial en el disseny de tests psicològics,ca,100,application of factorial analysis in the design of psychological tests
637,administració de tasques experimentals a través d’internet,ca,100,administration of experimental tasks through the internet
638,processos psicològics bàsics en la comunicació publicitària,ca,100,basic psychological processes in advertising communication
639,models biològics dels trastorns mentals,ca,100,biological models of mental disorders
640,cognició i comunicació animal,ca,100,cognition and animal communication
641,psicobiologia de les emocions i la intel·ligència,ca,100,psychobiology of emotions and intelligence
642,selecció de personal,ca,100,personnel selection
643,dificultats d’aprenentatge i trastorns del desenvolupament,ca,100,learning difficulties and developmental disorders
644,escola inclusiva i atenció primerenca,ca,100,inclusive school and early attention
645,didàctica de la llengua estrangera,ca,100,didactical of the foreign language
646,treball de fi de grau,ca,100,end-of-degree work
647,pràcticum 2,ca,100,practicum 2
648,pedagogia i didàctica de la religió a l’escola,ca,100,pedagogy and teaching of religion in school
649,"atenció educativa a l’alumnat amb discapacitat sensorial, motriu i intel.lectual",ca,100,"educational attention to students with sensory, motor and intellectual disabilities"
650,"societat, família i educació",ca,100,"society, family and education"
651,"ensenyament i aprenentatge de la música, l’expressió plàstica i l’expressió corporal 1",ca,100,"teaching and learning music, plastic expression and body expression 1"
652,didàctica de l’educació psicomotriu a l’educació infantil 1,ca,100,the teaching of psychomotor education in children's education 1
653,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 3",ca,100,"teaching and learning experimental sciences, social sciences and mathematics 3"
654,"ensenyament i aprenetatge de la música, l’expressió plàstica i l’expressió corporal 2",ca,100,"teaching and learning of music, plastic expression and body expression 2"
655,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 2",ca,100,"teaching and learning experimental sciences, social sciences and mathematics 2"
656,pràcticum 1,ca,100,practicum 1
657,processos i contextos educatius,ca,100,processes and educational contexts
658,"infància, salut i alimentació",ca,100,"childhood, health and food"
659,habilitats comunicatives,ca,100,comunicatives skills
660,intervenció psicoeducativa en les dificultats de comunicació i llenguatge,ca,100,psychoeducational intervention in the difficulties of communication and language
661,educació psicomotriu i atenció a la diversitat en el marc de l’escola inclusiva,ca,100,psychomotor education and attention to diversity within the framework of inclusive school
662,"ensenyament i aprenentatge de la música, l’expressió plàstica i l’expressió corporal 3",ca,100,"teaching and learning music, plastic expression and body expression 3"
663,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 1",ca,100,"teaching and learning experimental sciences, social sciences and mathematics 1"
664,audició: les històries de la música,ca,100,audition: the stories of music
665,estudis en el marc dels convenis de mobilitat,ca,100,studies in the framework of mobility conventions
666,"organització de l’espai escolar, materials i habilitats docents",ca,100,"organization of school space, materials and teaching skills"
667,ensenyament i aprenentatge de llengües i lecto-escriptura 1,ca,100,language teaching and learning and lecto-writing 1
668,l’escola d’educació infantil,ca,100,the school of child education
669,ensenyament i aprenentatge de llengües i lecto-escriptura 3,ca,100,language teaching and learning and lecto-writing 3
670,formació psico-corporal,ca,100,psycho-corporal formation
671,ensenyament i aprenentatge de llengües i lecto-escriptura 2,ca,100,language teaching and learning and lecto-writing 2
672,dansa: la música en moviment,ca,100,dance: moving music
673,aprenentatge i desenvolupament de la personalitat,ca,100,learning and development of personality
674,formació vocal i auditiva,ca,100,vocal and auditory training
675,didàctica de la música i la dansa a infantil,ca,100,Didactics of music and dance to children
676,l’observació i l’avaluació del joc de l’infant,ca,100,the observation and evaluation of the game of the child
677,"religió, cultura i valors",ca,100,"religion, culture and values"
678,metodologia d’investigació en tecnologia educativa,ca,100,research methodology in educational technology
679,entorns flexibles de formació,ca,100,flexible training environments
680,desenvolupament professional del docent en relació amb les td,ca,100,professional development of the teacher in relation to the td
681,gestió del coneixement en les organitzacions,ca,100,Knowledge management in organizations
682,difusió i transferència,ca,100,diffusion and transfer
683,treball fi de màster,ca,100,Final Masterwork
684,espais i eines per al treball col·laboratiu,ca,100,spaces and tools for collaborative work
685,organització i gestió de l’ús de les td a l’ensenyament,ca,100,organization and management of the use of tds in teaching
686,creació de continguts per a formació online,ca,100,content creation for online training
687,tecnologies digitals en la formació,ca,100,digital technologies in training
688,"comunicació, interacció i col·laboració",ca,100,"communication, interaction and collaboration"
689,eines digitals per a la docència,ca,100,digital tools for teaching
690,comunicació audiovisual en xarxa,ca,100,Networked audiovisual communication
691,disseny de projectes d’innovació en educació,ca,100,design of innovation projects in education
692,"producció i integració de la imatge, l’audio i el vídeo digital",ca,100,"production and integration of the image, audio and digital video"
693,disseny de projectes curriculars amb l’ús de les td,ca,100,design of curriculum projects with the use of tds
694,ètica digital aplicada,ca,100,applied digital ethics
695,disseny i desenvolupament d’entorns tecnològics per a la formació,ca,100,design and development of technological environments for training
696,societat en xarxa i ciutadania digital,ca,100,Network society and digital citizenship
697,pràctiques acadèmiques externes,ca,100,external academic practices
698,eines i tècniques per a la recollida i l’anàlisi de dades,ca,100,tools and techniques for data collection and analysis
699,avaluació de mitjans i materials d’ensenyaments,ca,100,evaluation of media and teaching materials
700,disseny i desenvolupament de materials de formació,ca,100,design and development of training materials
701,disseny d’investigació,ca,100,investigative design
702,les td en l’àmbit no formal,ca,100,td in the non-formal field
703,ensenyament i aprenentatge de les matemàtiques 2,ca,100,teaching and learning mathematics 2
704,"infància, salut i alimentació",ca,100,"childhood, health and food"
705,"societat, família i educació",ca,100,"society, family and education"
706,ensenyament i aprenentatge de l’educació física 1,ca,100,teaching and learning physical education 1
707,ensenyament i aprenentatge de l’educació física 2,ca,100,teaching and learning physical education 2
708,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 1",ca,100,"teaching and learning experimental sciences, social sciences and mathematics 1"
709,aprenentatge i desenvolupament de la personalitat,ca,100,learning and development of personality
710,pràctiques externes 1,ca,100,external practices 1
711,competència comunicativa oral i cultura popular,ca,100,oral communication competence and popular culture
712,ensenyament i aprenentatge de les ciències experimentals 1,ca,100,teaching and learning experimental sciences 1
713,ensenyament i aprenentatge de llengües i lecto-escriptura 3,ca,100,language teaching and learning and lecto-writing 3
714,habilitats comunicatives,ca,100,comunicatives skills
715,"organització de l’espai escolar, materials i habilitats docents",ca,100,"organization of school space, materials and teaching skills"
716,ensenyament i aprenentatge de llengües i lecto-escriptura 2,ca,100,language teaching and learning and lecto-writing 2
717,coneixement i ús de la llengua estrangera 1,ca,100,knowledge and use of the foreign language 1
718,"ensenyament i aprenentatge de l’educació musical, visual i plàstica 1",ca,100,"teaching and learning music, visual and plastic education 1"
719,competència comunicativa i intercultural en llengua estrangera,ca,100,communicative and intercultural competence in the foreign language
720,l’escola d’educació infantil,ca,100,the school of child education
721,"ensenyament i aprenentatge de la música, l’expressió plàstica i l’expressió corporal 1",ca,100,"teaching and learning music, plastic expression and body expression 1"
722,"ensenyament i aprenetatge de la música, l’expressió plàstica i l’expressió corporal 2",ca,100,"teaching and learning of music, plastic expression and body expression 2"
723,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 2",ca,100,"teaching and learning experimental sciences, social sciences and mathematics 2"
724,ensenyament i aprenentatge de llengües i lecto-escriptura 1,ca,100,language teaching and learning and lecto-writing 1
725,ensenyament i aprenentatge de les llengües 3,ca,100,teaching and learning of languages 3
726,escola inclusiva i atenció primerenca,ca,100,inclusive school and early attention
727,ensenyament i aprenentatge de les llengües 2,ca,100,teaching and learning of languages 2
728,pràcticum 1,ca,100,practicum 1
729,coneixement i ús de la llengua estrangera 2,ca,100,knowledge and use of the foreign language 2
730,didàctica de la llengua estrangera,ca,100,didactical of the foreign language
731,ensenyament i aprenentatge de les matemàtiques 3,ca,100,teaching and learning mathematics 3
732,ensenyament i aprenentatge de les ciències socials 2,ca,100,teaching and learning social sciences 2
733,processos i contextos educatius,ca,100,processes and educational contexts
734,dificultats d’aprenentatge i trastorns del desenvolupament,ca,100,learning difficulties and developmental disorders
735,treball de fi de grau,ca,100,end-of-degree work
736,treball de fi de grau,ca,100,end-of-degree work
737,pràcticum 2,ca,100,practicum 2
738,pràctiques externes 2,ca,100,external practices 2
739,aprenentatge i ensenyament de l’economia i economia de l’empresa,ca,100,learning and teaching the economy and economy of the company
740,aprenentatge i ensenyament de l’administració,ca,100,learning and teaching administration
741,processos i contextos educatius,ca,100,processes and educational contexts
742,avaluació i dificultats d’aprenentatge,ca,100,evaluation and learning difficulties
743,el currículum en ciències socials a l’eso i al batxillerat: complements de formació d’història i his,ca,100,the curriculum in social sciences in the eso and baccalaureate: complements of history training and his
744,complements de formació disciplinària en administració,ca,100,disciplinary training completions in administration
745,complements de formació disciplinària en química,ca,100,disciplinary training completions in chemistry
746,pràctiques externes,ca,100,external practices
747,adquisició i ensenyament de llengües estrangeres,ca,100,acquisition and teaching of foreign languages
748,complements de formació disciplinària en física,ca,100,complements of disciplinary training in physics
749,aprenentatge i ensenyament de la física i química,ca,100,learning and teaching physics and chemistry
750,complements de formació disciplinària en economia de l’empresa,ca,100,disciplinary training completions in business economics
751,orientació professional i ciutadania,ca,100,professional orientation and citizenship
752,aprenentatge i ensenyament de la tecnologia,ca,100,learning and teaching technology
753,currículum per la secundària d’economia: valor cultural i formatiu,ca,100,currículum for secondary economics: cultural and formative value
754,la física i la química a secundària i el seu context,ca,100,physics and chemistry in secondary school and its context
755,la biologia i la geologia a secundària i el seu context,ca,100,biology and geology in secondary school and its context
756,innovació docent i iniciació a la recerca educativa,ca,100,teaching innovation and initiation to educational research
757,el currículum en ciències socials a l’eso i al batxillerat: complements de formació de geografia,ca,100,the curriculum in social sciences in the eso and baccalaureate: complements of geography training
758,la docència de tecnologia en el context social,ca,100,the teaching of technology in the social context
759,complements de formació disciplinària en biologia,ca,100,disciplinary training completions in biology
760,aprenentatge i ensenyament de la biologia i la geologia,ca,100,learning and teaching biology and geology
761,aprenentatge i ensenyament de la geografia,ca,100,learning and teaching geography
762,aprenentatge i ensenyament de llengües estrangeres,ca,100,learning and teaching foreign languages
763,"societat, família i educació",ca,100,"society, family and education"
764,la tecnologia en secundària,ca,100,technology in secondary school
765,complements de formació disciplinària en llengua i literatura catalana,ca,100,complements of disciplinary training in Catalan language and literature
766,la cultura i la literatura a classe de llengua estrangera,ca,100,culture and literature in the class of foreign language
767,complements de formació disciplinària en geologia,ca,100,disciplinary training completions in geology
768,treball de fi de màster,ca,100,Final Masterwork
769,complements de formació disciplinària en economia,ca,100,disciplinary training completions in economics
770,aprenentatge i ensenyament de les llengües i literatura catalana i espanyola,ca,100,learning and teaching Catalan and Spanish languages and literature
771,aprenentatge i ensenyament de la història i la història de l’art,ca,100,learning and teaching history and history of art
772,aprenentatge i desenvolupament de la personalitat,ca,100,learning and development of personality
773,complements de formació disciplinària en llengua i literatura espanyola,ca,100,complements of disciplinary training in Spanish language and literature
774,avaluació i dificultats d’aprenentatge,ca,100,evaluation and learning difficulties
775,aprenentatge i ensenyament de les llengües i literatura catalana i espanyola (2a especialitat),ca,100,learning and teaching Catalan and Spanish languages and literature (2nd speciality)
776,treball de fi de màster (2a especialitat),ca,100,Final Masterwork (2nd Specialty)
777,pràctiques externes (2a especialitat),ca,100,external practices (2nd speciality)
778,"organització de l’espai escolar, materials i habilitats docents",ca,100,"organization of school space, materials and teaching skills"
779,"ensenyament i aprenentatge de la música, l’expressió plàstica i l’expressió corporal 2",ca,100,"teaching and learning music, plastic expression and body expression 2"
780,pedagogia i didàctica de la religió a l’escola,ca,100,pedagogy and teaching of religion in school
781,processos i contextos educatius,ca,100,processes and educational contexts
782,l’observació i l’avaluació del joc de l’infant,ca,100,the observation and evaluation of the game of the child
783,treball de fi de grau,ca,100,end-of-degree work
784,pràctiques externes 2,ca,100,external practices 2
785,"atenció educativa a l’alumnat amb discapacitat sensorial, motriu i intel.lectual",ca,100,"educational attention to students with sensory, motor and intellectual disabilities"
786,l’escola d’educació infantil,ca,100,the school of child education
787,"societat, família i educació",ca,100,"society, family and education"
788,formació psico-corporal,ca,100,psycho-corporal formation
789,aprenentatge i desenvolupament de la personalitat,ca,100,learning and development of personality
790,"infància, salut i alimentació",ca,100,"childhood, health and food"
791,pràcticum 1,ca,100,practicum 1
792,didàctica de l’educació psicomotriu a l’educació infantil 1,ca,100,the teaching of psychomotor education in children's education 1
793,dansa: la música en moviment,ca,100,dance: moving music
794,educació psicomotriu i atenció a la diversitat en el marc de l’escola inclusiva,ca,100,psychomotor education and attention to diversity within the framework of inclusive school
795,"religió, cultura i valors",ca,100,"religion, culture and values"
796,formació vocal i auditiva,ca,100,vocal and auditory training
797,dificultats d’aprenentatge i trastorns del desenvolupament,ca,100,learning difficulties and developmental disorders
798,intervenció psicoeducativa en les dificultats de comunicació i llenguatge,ca,100,psychoeducational intervention in the difficulties of communication and language
799,ensenyament i aprenentatge de llengües i lecto-escriptura 2,ca,100,language teaching and learning and lecto-writing 2
800,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 1",ca,100,"teaching and learning experimental sciences, social sciences and mathematics 1"
801,escola inclusiva i atenció primerenca,ca,100,inclusive school and early attention
802,ensenyament i aprenentatge de llengües i lecto-escriptura 1,ca,100,language teaching and learning and lecto-writing 1
803,"ensenyament i aprenentatge de la música, l’expressió plàstica i l’expressió corporal 3",ca,100,"teaching and learning music, plastic expression and body expression 3"
804,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 3",ca,100,"teaching and learning experimental sciences, social sciences and mathematics 3"
805,projecte artístic,ca,100,art project
806,habilitats comunicatives,ca,100,comunicatives skills
807,"ensenyament i aprenentatge de la música, l’expressió plàstica i l’expressió corporal 1",ca,100,"teaching and learning music, plastic expression and body expression 1"
808,ensenyament i aprenentatge de llengües i lecto-escriptura 3,ca,100,language teaching and learning and lecto-writing 3
809,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 2",ca,100,"teaching and learning experimental sciences, social sciences and mathematics 2"
810,competència comunicativa oral i cultura popular,ca,100,oral communication competence and popular culture
811,audició: les històries de la música,ca,100,audition: the stories of music
812,aprenentatge i desenvolupament de la personalitat,ca,100,learning and development of personality
813,intervenció psicoeducativa en les dificultats de comunicació i llenguatge,ca,100,psychoeducational intervention in the difficulties of communication and language
814,dificultats d’aprenentatge i trastorns del desenvolupament,ca,100,learning difficulties and developmental disorders
815,formació vocal i auditiva,ca,100,vocal and auditory training
816,l’observació i l’avaluació del joc de l’infant,ca,100,the observation and evaluation of the game of the child
817,habilitats comunicatives,ca,100,comunicatives skills
818,"ensenyament i aprenentatge de la música, l’expressió plàstica i l’expressió corporal 3",ca,100,"teaching and learning music, plastic expression and body expression 3"
819,ensenyament i aprenentatge de llengües i lecto-escriptura 1,ca,100,language teaching and learning and lecto-writing 1
820,ensenyament i aprenentatge de llengües i lecto-escriptura 3,ca,100,language teaching and learning and lecto-writing 3
821,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 2",ca,100,"teaching and learning experimental sciences, social sciences and mathematics 2"
822,pràctiques externes 2,ca,100,external practices 2
823,ensenyament i aprenentatge de llengües i lecto-escriptura 2,ca,100,language teaching and learning and lecto-writing 2
824,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 1",ca,100,"teaching and learning experimental sciences, social sciences and mathematics 1"
825,"religió, cultura i valors",ca,100,"religion, culture and values"
826,"atenció educativa a l’alumnat amb discapacitat sensorial, motriu i intel.lectual",ca,100,"educational attention to students with sensory, motor and intellectual disabilities"
827,treball de fi de grau,ca,100,end-of-degree work
828,pedagogia i didàctica de la religió a l’escola,ca,100,pedagogy and teaching of religion in school
829,audició: les històries de la música,ca,100,audition: the stories of music
830,processos i contextos educatius,ca,100,processes and educational contexts
831,educació psicomotriu i atenció a la diversitat en el marc de l’escola inclusiva,ca,100,psychomotor education and attention to diversity within the framework of inclusive school
832,pràcticum 1,ca,100,practicum 1
833,estudis en el marc dels convenis de mobilitat,ca,100,studies in the framework of mobility conventions
834,formació psico-corporal,ca,100,psycho-corporal formation
835,"infància, salut i alimentació",ca,100,"childhood, health and food"
836,"societat, família i educació",ca,100,"society, family and education"
837,l’escola d’educació infantil,ca,100,the school of child education
838,"ensenyament i aprenentatge de la música, l’expressió plàstica i l’expressió corporal 1",ca,100,"teaching and learning music, plastic expression and body expression 1"
839,projecte artístic,ca,100,art project
840,didàctica de la llengua estrangera,ca,100,didactical of the foreign language
841,dansa: la música en moviment,ca,100,dance: moving music
842,"ensenyament i aprenentatge de la música, l’expressió plàstica i l’expressió corporal 2",ca,100,"teaching and learning music, plastic expression and body expression 2"
843,"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 3",ca,100,"teaching and learning experimental sciences, social sciences and mathematics 3"
844,didàctica de l’educació psicomotriu a l’educació infantil 1,ca,100,the teaching of psychomotor education in children's education 1
845,"organització de l’espai escolar, materials i habilitats docents",ca,100,"organization of school space, materials and teaching skills"
846,escola inclusiva i atenció primerenca,ca,100,inclusive school and early attention
847,corrents estètics contemporanis en comunicació,ca,100,contemporary aesthetic currents in communication
848,gestió de continguts als mercats audiovisual i publicitari,ca,100,content management in the audiovisual and advertising markets
849,organització d’esdeveniments,ca,100,organization of events
850,expressió corporal i comunicació no verbal,ca,100,corporal expression and nonverbal communication
851,"gènere, sexualitats i comunicació",ca,100,"gender, sexuality and communication"
852,relacions amb els mitjans,ca,100,relationships with the media
853,màrqueting directe i interactiu,ca,100,direct and interactive marketing
854,màrqueting i comunicació empresarial,ca,100,marketing and business communication
855,opinió pública,ca,100,public opinion
856,fonaments del periodisme,ca,100,fundaments of journalism
857,planificació de mitjans,ca,100,Media planning
858,escriptura creativa,ca,100,creative writing
859,comunicació interna,ca,100,internal communication
860,teoria i tècnica del llenguatge audiovisual,ca,100,theory and technique of audiovisual language
861,direcció de comptes en publicitat i relacions públiques,ca,100,direction of accounts in advertising and public relations
862,pràctiques acadèmiques externes,ca,100,external academic practices
863,estàndard oral i escrit de la llengua (català),ca,100,oral and written standard of the language (Catalan)
864,introducció a l’economia i a l’empresa,ca,100,introduction to economics and the company
865,teoria de la imatge,ca,100,theory of the image
866,producció de projectes multimèdia,ca,100,production of multimedia projects
867,investigació de mercats,ca,100,market research
868,fonaments de la comunicació publicitària i de les relacions públiques,ca,100,fundaments of advertising communication and public relations
869,comunicació i expressió oral,ca,100,communication and oral expression
870,taller de projectes de recerca i professionals,ca,100,workshop of research projects and professionals
871,estàndard oral i escrit de la llengua (castellà),ca,100,oral and written standard of the language (Spanish)
872,creativitat publicitària,ca,100,advertising creativity
873,tècniques de les relacions públiques,ca,100,technics of public relations
874,fotografia documental i publicitària,ca,100,documentary and advertising photography
875,"globalització, cultura i societat",ca,100,"globalization, culture and society"
876,tècniques de màrqueting i comunicació,ca,100,marketing and communication techniques
877,treball de fi de grau,ca,100,end-of-degree work
878,tecnologia audiovisual i d’internet,ca,100,audiovisual and internet technology
879,infodisseny,ca,100,infodisseny
880,comunicació i imatge corporativa,ca,100,communication and corporate image
881,introducció a la psicologia,ca,100,introduction to psychology
882,història i estructura de la comunicació,ca,100,history and structure of communication
883,disseny gràfic i multimèdia,ca,100,graphic and multimedia design
884,dret de la comunicació,ca,100,right of communication
885,comunicació política,ca,100,political communication
886,estudis en el marc de convenis de mobilitat,ca,100,studies within the framework of mobility conventions
887,persuasió a través del discurs,ca,100,persuasion through discourse
888,campanyes i plans de comunicació,ca,100,campaigns and communication plans
889,experiències en comunicació i direcció estratègica,ca,100,experiences in communication and strategic direction
890,comunicació estratègica de marques territori,ca,100,strategic communication of territorial brands
891,oportunitats i riscos en la comunicació organitzacional,ca,100,opportunities and risks in organizational communication
892,comunicació en les organitzacions polítiques,ca,100,communication in political organizations
893,comunicació i responsabilitat social,ca,100,communication and social responsibility
894,tècniques qualitatives de recerca en comunicació,ca,100,qualitative research techniques in communication
895,eines del màrqueting digital,ca,100,tools of digital marketing
896,gestió de la comunicació en línia  i community management,ca,100,management of online communication and community management
897,projectes i informes de recerca en comunicació,ca,100,projects and research reports in communication
898,treball fi de màster,ca,100,Final Masterwork
899,disseny d’experiències,ca,100,designing experiences
900,comunicació de les institucions públiques,ca,100,communication of public institutions
901,storytelling i framing per a les organitzacions,ca,100,storytelling and framing for organizations
902,tècniques quantitatives de recerca en comunicació,ca,100,quantitative research techniques in communication
903,"comunicació de crisi: gestió, habilitats i casos",ca,100,"crisis communication: management, skills and cases"
904,direcció de comunicació,ca,100,direction of communication
905,comunicació i imatge corporativa,ca,100,communication and corporate image
906,comunicació de la salut en l’era digital,ca,100,health communication in the digital era
907,comunicació escrita en català,ca,100,written communication in Catalan
908,literatura medieval,ca,100,medieval literature
909,literatura francesa 1,ca,100,French literature 1
910,metodologia de l’anàlisi literària,ca,100,metodology of literary analysis
911,introducció a l’edició de textos i a la crítica textual,ca,100,introduction to the editing of texts and textual criticism
912,llengua i societat,ca,100,language and society
913,lingüística,ca,100,linguistics
914,comunicació escrita en espanyol,ca,100,communication written in Spanish
915,els sons de la llengua espanyola,ca,100,the sounds of the Spanish language
916,espanyol conversacional,ca,100,Spanish conversacional
917,anglès 2,ca,100,English 2
918,literatura espanyola dels segles d’or,ca,100,Spanish literature of the golden centuries
919,les paraules de la llengua espanyola,ca,100,the words of the Spanish language
920,pràctiques externes 1,ca,100,external practices 1
921,tendències actuals en lingüística,ca,100,current trends in linguistics
922,treball de fi de grau,ca,100,end-of-degree work
923,literatura romànica,ca,100,Romance literature
924,psicolingüística i neurolinguística,ca,100,psycholinguistics and neurolinguistics
925,història de la llengua espanyola,ca,100,history of the Spanish language
926,estudis en el marc de convenis de mobilitat,ca,100,studies within the framework of mobility conventions
927,anglès 1,ca,100,English 1
928,literatura i societat,ca,100,literatura and society
929,literatura espanyola dels segles xviii i xix,ca,100,Spanish literature of the 18th and 19th centuries
930,el llegat clàssic,ca,100,the classic legacy
931,les oracions de la llengua espanyola,ca,100,the prayers of the Spanish language
932,llatí,ca,100,Latin
933,comunicació oral en català,ca,100,oral communication in Catalan
934,comunicació oral en espanyol,ca,100,oral communication in Spanish
935,literatura hispanoamericana contemporània,ca,100,Contemporary Hispanic-American literature
936,francès comunicatiu,ca,100,communicative French
937,el significat de les paraules i de les oracions,ca,100,the meaning of words and prayers
938,metodologia de la investigació literària,ca,100,metodology of literary research
939,l’espanyol d’amèrica,ca,100,Spanish from America
940,literatura espanyola contemporània,ca,100,contemporary Spanish literature
941,literatura espanyola de la segona meitat del segle xx i actual,ca,100,Spanish literature of the second half of the 20th century and today
942,llengua francesa 1,ca,100,French language 1
943,correcció de textos,ca,100,correction of texts
944,literatura,ca,100,literatura
945,lingüística romànica,ca,100,Romance linguistics
946,literatura hispanoamericana moderna,ca,100,modern Hispanic-American literature
947,dona i literatura,ca,100,woman and literature
948,ensenyament de l’espanyol com a llengua estrangera,ca,100,teaching Spanish as a foreign language
949,taller de demografia,ca,100,taller demografia
950,pràctiques professionalitzadores,ca,100,professional practice
951,"postindustrialisme, globalització i espai urbà",ca,100,"post-industrialism, globalization and urban space"
952,treball de fi de màster,ca,100,Final Masterwork
953,ciutats i metròpolis contemporànies,ca,100,contemporary cities and metropolis
954,societat del benestar i polítiques socials,ca,100,society of welfare and social policies
955,migracions i multiculturalitat,ca,100,migrations and multiculturalism
956,racismes i xenofòbies a les ciutats multiculturals,ca,100,racisms and xenophobias in multicultural cities
957,mètode etnogràfic i tècniques d’investigació urbana,ca,100,Ethnographic method and urban research techniques
958,estudis de cas,ca,100,case studies
959,conflicte social,ca,100,social conflict
960,metodologies d’intervenció en l’àmbit urbà,ca,100,metodologies of intervention in the urban area
961,economia política del transnacionalisme i codesenvolupament,ca,100,political economy of transnationalism and co-development
962,migracions contemporànies: contextos i lògiques,ca,100,contemporary migrations: contexts and logics
963,taller de demografia,ca,100,taller demografia
964,pràctiques professionalitzadores,ca,100,professional practice
965,"postindustrialisme, globalització i espai urbà",ca,100,"post-industrialism, globalization and urban space"
966,treball de fi de màster,ca,100,Final Masterwork
967,ciutats i metròpolis contemporànies,ca,100,contemporary cities and metropolis
968,societat del benestar i polítiques socials,ca,100,society of welfare and social policies
969,migracions i multiculturalitat,ca,100,migrations and multiculturalism
970,racismes i xenofòbies a les ciutats multiculturals,ca,100,racisms and xenophobias in multicultural cities
971,mètode etnogràfic i tècniques d’investigació urbana,ca,100,Ethnographic method and urban research techniques
972,estudis de cas,ca,100,case studies
973,conflicte social,ca,100,social conflict
974,metodologies d’intervenció en l’àmbit urbà,ca,100,metodologies of intervention in the urban area
975,economia política del transnacionalisme i codesenvolupament,ca,100,political economy of transnationalism and co-development
976,migracions contemporànies: contextos i lògiques,ca,100,contemporary migrations: contexts and logics
977,gènere i salut,ca,100,gender and health
978,dissenys i tècniques avançades en antropologia mèdica 3,ca,100,Advanced Designs and Techniques in Medical Anthropology 3
